18:36:25.193347 [EBC -> TOOL] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D 0D 0A 33 30 0D 0A  ASCII: setLogTime...30..
18:36:26.940979 [TOOL -> EBC] HEX: 0D  ASCII: .
18:36:27.020800 [EBC -> TOOL] HEX: 0D  ASCII: .
18:36:27.036639 [TOOL -> EBC] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D  ASCII: setLogTime.
18:36:27.116233 [EBC -> TOOL] HEX: 0D 0A 3F 0D 0A  ASCII: ..?..
18:36:27.179874 [EBC -> TOOL] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D 0D 0A 33 30 0D 0A  ASCII: setLogTime...30..
18:36:28.068314 [TOOL -> EBC] HEX: 0D  ASCII: .
18:36:28.131722 [EBC -> TOOL] HEX: 0D  ASCII: .
18:36:28.227199 [TOOL -> EBC] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D  ASCII: setLogTime.
18:36:28.275298 [EBC -> TOOL] HEX: 0D 0A 3F 0D 0A  ASCII: ..?..
18:36:28.418936 [EBC -> TOOL] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D 0D 0A 33 30 0D 0A  ASCII: setLogTime...30..
18:36:29.022802 [TOOL -> EBC] HEX: 0D  ASCII: .
18:36:29.103045 [EBC -> TOOL] HEX: 0D  ASCII: .
18:36:29.150064 [TOOL -> EBC] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D  ASCII: setLogTime.
18:36:29.197714 [EBC -> TOOL] HEX: 0D 0A 3F 0D 0A  ASCII: ..?..
18:36:29.326105 [EBC -> TOOL] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D 0D 0A 33 30 0D 0A  ASCII: setLogTime...30..
18:36:30.086978 [TOOL -> EBC] HEX: 0D  ASCII: .
18:36:30.134732 [EBC -> TOOL] HEX: 0D  ASCII: .
18:36:30.245300 [EBC -> TOOL] HEX: 0D 0A 3F 0D 0A  ASCII: ..?..
18:36:30.245384 [TOOL -> EBC] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D  ASCII: setLogTime.
18:36:30.356299 [EBC -> TOOL] HEX: 73  ASCII: s
18:36:30.420592 [EBC -> TOOL] HEX: 65 74 4C 6F 67 54 69 6D 65 0D 0D 0A 33 30 0D 0A  ASCII: etLogTime...30..
18:36:31.039804 [TOOL -> EBC] HEX: 0D  ASCII: .
18:36:31.087445 [EBC -> TOOL] HEX: 0D  ASCII: .
18:36:31.087656 [TOOL -> EBC] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D  ASCII: setLogTime.
18:36:31.152083 [EBC -> TOOL] HEX: 0D 0A 3F 0D 0A  ASCII: ..?..
18:36:31.183328 [EBC -> TOOL] HEX: 73 65 74 4C 6F 67 54 69 65  ASCII: setLogTie
18:36:32.039436 [TOOL -> EBC] HEX: 0D  ASCII: .
18:36:32.151272 [EBC -> TOOL] HEX: 0D  ASCII: .
18:36:32.183039 [TOOL -> EBC] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D  ASCII: setLogTime.
18:36:32.198840 [EBC -> TOOL] HEX: 0D 0A 3F 0D 0A  ASCII: ..?..
18:36:32.277761 [EBC -> TOOL] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D 0D 0A 33 30 0D 0A  ASCII: setLogTime...30..
18:36:33.022667 [TOOL -> EBC] HEX: 0D  ASCII: .
18:36:33.070235 [EBC -> TOOL] HEX: 0D 0D 0A 3F 0D 0A  ASCII: ...?..
18:36:33.117850 [TOOL -> EBC] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D  ASCII: setLogTime.
18:36:33.181818 [EBC -> TOOL] HEX: 73  ASCII: s
18:36:33.309224 [EBC -> TOOL] HEX: 65 74 4C 6F 67 54 69 6D 65 0D 0D 0A 33 30 0D 0A  ASCII: etLogTime...30..
18:36:34.022852 [TOOL -> EBC] HEX: 0D  ASCII: .
18:36:34.070904 [EBC -> TOOL] HEX: 0D  ASCII: .
18:36:34.134612 [TOOL -> EBC] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D  ASCII: setLogTime.
18:36:34.181724 [EBC -> TOOL] HEX: 0D 0A 3F 0D 0A  ASCII: ..?..
18:36:34.308932 [EBC -> TOOL] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D 0D 0A 33 30 0D 0A  ASCII: setLogTime...30..
18:36:35.023862 [TOOL -> EBC] HEX: 0D  ASCII: .
